order_id,customer_id,product_id,order_date,quantity,category,price,total_amount
61,704,13,7/22/2023,3,Gaming,343,1029
62,966,42,11/21/2023,1,Electronics,315,315
63,575,9,11/9/2023,1,Electronics,260,260
64,585,42,9/30/2023,3,Electronics,315,945
65,161,31,9/1/2023,2,Electronics,21,42
66,681,7,11/23/2023,4,Electronics,399,1596
67,89,4,2/16/2023,2,Accessories,165,330
68,688,19,9/6/2023,1,Accessories,294,294
69,781,42,3/20/2023,3,Electronics,315,945
70,585,30,4/20/2023,3,Electronics,215,645
71,757,31,1/13/2023,2,Electronics,21,42
72,589,35,12/31/2023,2,Gaming,251,502
73,159,21,3/31/2023,3,Accessories,128,384
74,489,31,12/8/2023,1,Electronics,21,21
75,971,19,12/14/2023,4,Accessories,294,1176
76,324,31,10/7/2023,4,Electronics,21,84
77,610,32,8/9/2023,2,Gaming,499,998
78,381,2,3/14/2023,3,Electronics,53,159
79,102,10,8/22/2023,3,Gaming,454,1362
80,494,2,9/17/2023,3,Electronics,53,159
81,644,2,4/23/2023,1,Electronics,53,53
82,614,24,2/15/2023,2,Accessories,494,988
83,19,17,10/1/2023,2,Audio,29,58
84,454,32,2/12/2023,2,Gaming,499,998
85,482,16,7/27/2023,1,Audio,302,302
86,594,16,12/15/2023,2,Audio,302,604
87,397,46,4/13/2023,4,Electronics,232,928
88,279,39,5/4/2023,2,Accessories,135,270
89,851,31,1/10/2023,2,Electronics,21,42
90,365,43,11/25/2023,2,Audio,294,588
91,331,24,7/6/2023,1,Accessories,494,494
92,641,1,1/31/2023,4,Electronics,129,516
93,344,11,6/5/2023,4,Gaming,413,1652
94,822,21,3/1/2023,3,Accessories,128,384
95,455,4,9/6/2023,3,Accessories,165,495
96,601,7,9/27/2023,4,Electronics,399,1596
97,725,26,8/5/2023,2,Accessories,68,136
98,655,47,1/2/2023,2,Gaming,193,386
99,65,50,1/24/2023,2,Electronics,416,832
100,76,12,7/25/2023,1,Gaming,379,379
101,711,31,11/16/2023,2,Electronics,21,42
102,143,17,7/18/2023,1,Audio,29,29
103,917,33,12/22/2023,4,Gaming,285,1140
104,915,11,4/24/2023,2,Gaming,413,826
105,828,28,10/7/2023,2,Accessories,170,340
106,605,32,6/4/2023,3,Gaming,499,1497
107,473,1,6/14/2023,4,Electronics,129,516
108,417,47,8/10/2023,2,Gaming,193,386
109,305,28,4/1/2023,1,Accessories,170,170
110,736,42,6/16/2023,4,Electronics,315,1260
111,497,7,7/26/2023,3,Electronics,399,1197
112,291,2,10/9/2023,4,Electronics,53,212
113,940,42,3/6/2023,1,Electronics,315,315
114,102,24,1/4/2023,3,Accessories,494,1482
115,986,4,6/6/2023,1,Accessories,165,165
116,267,44,9/6/2023,4,Electronics,194,776
117,867,19,9/14/2023,3,Accessories,294,882
118,968,26,8/23/2023,1,Accessories,68,68
119,622,11,11/2/2023,4,Gaming,413,1652
120,974,40,3/15/2023,1,Gaming,491,491
121,842,50,7/6/2023,2,Electronics,416,832
122,962,43,3/3/2023,4,Audio,294,1176
123,942,11,12/3/2023,3,Gaming,413,1239
124,777,45,6/13/2023,3,Audio,48,144
125,3,3,2/25/2023,2,Gaming,321,642
126,85,12,4/21/2023,1,Gaming,379,379
127,794,3,8/6/2023,1,Gaming,321,321
128,328,42,8/28/2023,3,Electronics,315,945
129,816,27,1/21/2023,1,Gaming,334,334
130,450,49,5/21/2023,4,Electronics,187,748
131,454,2,9/22/2023,4,Electronics,53,212
132,924,49,5/19/2023,3,Electronics,187,561
133,629,16,3/11/2023,4,Audio,302,1208
134,221,2,4/28/2023,3,Electronics,53,159
135,154,30,7/17/2023,1,Electronics,215,215
136,665,20,7/24/2023,1,Audio,10,10
137,12,38,8/2/2023,1,Gaming,308,308
138,133,28,2/25/2023,2,Accessories,170,340
139,994,25,10/14/2023,3,Electronics,254,762
140,304,32,10/20/2023,4,Gaming,499,1996
141,293,10,6/24/2023,1,Gaming,454,454
142,975,42,12/13/2023,2,Electronics,315,630
143,300,40,5/8/2023,4,Gaming,491,1964
144,740,33,11/21/2023,4,Gaming,285,1140
145,783,13,10/19/2023,4,Gaming,343,1372
146,43,41,10/15/2023,1,Gaming,226,226
147,944,42,8/14/2023,4,Electronics,315,1260
148,343,47,3/5/2023,3,Gaming,193,579
149,326,37,2/17/2023,2,Electronics,260,520
150,814,16,7/21/2023,4,Audio,302,1208
151,498,45,12/3/2023,4,Audio,48,192
152,364,22,3/1/2023,3,Accessories,44,132
153,891,20,9/14/2023,4,Audio,10,40
154,427,50,3/6/2023,1,Electronics,416,416
155,21,43,8/27/2023,1,Audio,294,294
156,407,27,10/16/2023,1,Gaming,334,334
157,619,41,2/7/2023,4,Gaming,226,904
158,336,16,1/25/2023,2,Audio,302,604
159,815,34,2/28/2023,2,Audio,190,380
160,117,32,12/23/2023,4,Gaming,499,1996
161,124,26,10/24/2023,2,Accessories,68,136
162,399,25,6/7/2023,2,Electronics,254,508
163,793,2,2/26/2023,4,Electronics,53,212
164,804,12,2/17/2023,1,Gaming,379,379
165,715,40,11/24/2023,4,Gaming,491,1964
166,51,9,2/25/2023,1,Electronics,260,260
167,783,12,3/6/2023,1,Gaming,379,379
168,324,26,9/25/2023,2,Accessories,68,136
169,789,9,3/10/2023,2,Electronics,260,520
170,141,10,8/4/2023,1,Gaming,454,454
171,470,32,3/30/2023,1,Gaming,499,499
172,787,34,10/8/2023,2,Audio,190,380
173,802,48,9/14/2023,3,Electronics,436,1308
174,334,20,6/9/2023,1,Audio,10,10
175,893,39,8/22/2023,1,Accessories,135,135
176,964,2,5/11/2023,1,Electronics,53,53
177,373,1,2/18/2023,2,Electronics,129,258
178,564,36,5/27/2023,4,Electronics,225,900
179,494,24,11/12/2023,1,Accessories,494,494
180,539,27,1/2/2023,1,Gaming,334,334
181,669,2,11/25/2023,1,Electronics,53,53
182,751,31,5/25/2023,4,Electronics,21,84
183,156,14,3/2/2023,4,Electronics,139,556
184,291,2,9/30/2023,1,Electronics,53,53
185,648,29,2/18/2023,1,Electronics,188,188
186,144,15,11/28/2023,3,Audio,466,1398
187,106,12,5/11/2023,4,Gaming,379,1516
188,420,37,2/12/2023,3,Electronics,260,780
189,670,28,2/26/2023,1,Accessories,170,170
190,658,20,2/19/2023,1,Audio,10,10
191,2,39,6/27/2023,1,Accessories,135,135
192,945,24,10/20/2023,1,Accessories,494,494
193,589,21,2/15/2023,2,Accessories,128,256
194,644,10,6/19/2023,2,Gaming,454,908
195,90,46,9/28/2023,2,Electronics,232,464
196,345,14,12/2/2023,3,Electronics,139,417
197,350,37,5/19/2023,4,Electronics,260,1040
198,459,18,9/4/2023,1,Audio,291,291
199,263,24,5/28/2023,4,Accessories,494,1976
200,351,14,8/18/2023,2,Electronics,139,278
201,108,34,10/7/2023,1,Audio,190,190
202,586,12,5/5/2023,1,Gaming,379,379
203,39,22,7/11/2023,3,Accessories,44,132
204,909,6,3/21/2023,4,Electronics,216,864
205,159,36,4/4/2023,3,Electronics,225,675
206,583,45,8/14/2023,2,Audio,48,96
207,959,36,3/6/2023,4,Electronics,225,900
208,312,22,3/29/2023,2,Accessories,44,88
209,241,14,3/29/2023,3,Electronics,139,417
210,938,16,7/20/2023,3,Audio,302,906
211,445,36,8/2/2023,1,Electronics,225,225
212,298,25,7/23/2023,4,Electronics,254,1016
213,952,32,3/30/2023,4,Gaming,499,1996
214,36,33,3/2/2023,1,Gaming,285,285
215,84,45,9/28/2023,4,Audio,48,192
216,452,36,4/4/2023,2,Electronics,225,450
217,886,20,11/3/2023,2,Audio,10,20
218,775,18,1/27/2023,3,Audio,291,873
219,822,38,8/2/2023,2,Gaming,308,616
220,385,3,3/15/2023,4,Gaming,321,1284
221,172,23,3/2/2023,1,Gaming,207,207
222,376,32,7/5/2023,3,Gaming,499,1497
223,685,45,1/31/2023,1,Audio,48,48
224,362,16,8/7/2023,3,Audio,302,906
225,559,5,1/12/2023,3,Audio,376,1128
226,891,4,10/29/2023,1,Accessories,165,165
227,141,21,2/1/2023,2,Accessories,128,256
228,887,40,6/9/2023,2,Gaming,491,982
229,918,14,8/25/2023,2,Electronics,139,278
230,118,39,8/15/2023,2,Accessories,135,270
231,277,31,6/30/2023,1,Electronics,21,21
232,726,14,11/13/2023,4,Electronics,139,556
233,220,6,2/15/2023,3,Electronics,216,648
234,905,12,12/7/2023,1,Gaming,379,379
235,26,16,3/21/2023,2,Audio,302,604
236,521,17,5/15/2023,2,Audio,29,58
237,783,45,9/17/2023,1,Audio,48,48
238,10,23,11/4/2023,3,Gaming,207,621
239,984,14,9/4/2023,1,Electronics,139,139
240,378,7,6/8/2023,1,Electronics,399,399
241,633,46,7/22/2023,4,Electronics,232,928
242,637,32,4/22/2023,1,Gaming,499,499
243,682,15,10/19/2023,4,Audio,466,1864
244,584,44,11/6/2023,3,Electronics,194,582
245,152,17,4/29/2023,1,Audio,29,29
246,720,41,1/17/2023,1,Gaming,226,226
247,49,47,11/27/2023,2,Gaming,193,386
248,154,44,8/15/2023,1,Electronics,194,194
249,859,34,12/27/2023,2,Audio,190,380
250,293,5,4/27/2023,2,Audio,376,752
251,580,45,2/12/2023,2,Audio,48,96
252,50,27,4/25/2023,3,Gaming,334,1002
253,664,23,10/10/2023,4,Gaming,207,828
254,531,40,2/6/2023,2,Gaming,491,982
255,612,14,10/29/2023,1,Electronics,139,139
256,60,15,4/23/2023,1,Audio,466,466
257,167,43,2/4/2023,2,Audio,294,588
258,202,33,5/12/2023,2,Gaming,285,570
259,857,31,12/2/2023,1,Electronics,21,21
260,146,35,12/2/2023,2,Gaming,251,502
261,915,17,8/16/2023,4,Audio,29,116
262,676,28,5/27/2023,4,Accessories,170,680
263,970,19,5/2/2023,3,Accessories,294,882
264,993,46,3/22/2023,2,Electronics,232,464
265,439,23,6/22/2023,3,Gaming,207,621
266,242,32,6/3/2023,3,Gaming,499,1497
267,581,40,5/30/2023,3,Gaming,491,1473
268,687,13,2/27/2023,2,Gaming,343,686
269,561,20,3/4/2023,3,Audio,10,30
270,483,35,6/5/2023,4,Gaming,251,1004
271,108,5,12/22/2023,3,Audio,376,1128
272,226,9,11/18/2023,4,Electronics,260,1040
273,673,29,6/17/2023,4,Electronics,188,752
274,631,6,6/15/2023,2,Electronics,216,432
275,661,25,3/26/2023,3,Electronics,254,762
276,977,31,5/17/2023,2,Electronics,21,42
277,662,22,7/8/2023,4,Accessories,44,176
278,432,2,1/2/2023,1,Electronics,53,53
279,805,45,4/16/2023,3,Audio,48,144
280,655,5,12/30/2023,2,Audio,376,752
281,419,27,3/13/2023,1,Gaming,334,334
282,988,25,5/6/2023,3,Electronics,254,762
283,455,8,6/19/2023,3,Audio,117,351
284,160,1,7/24/2023,2,Electronics,129,258
285,523,20,11/9/2023,1,Audio,10,10
286,650,44,12/3/2023,2,Electronics,194,388
287,969,23,7/14/2023,3,Gaming,207,621
288,590,32,6/7/2023,3,Gaming,499,1497
289,77,11,5/21/2023,4,Gaming,413,1652
290,509,39,10/2/2023,3,Accessories,135,405
291,441,47,1/7/2023,3,Gaming,193,579
292,254,24,2/23/2023,1,Accessories,494,494
293,921,11,4/14/2023,1,Gaming,413,413
294,770,29,12/8/2023,4,Electronics,188,752
295,320,26,12/4/2023,4,Accessories,68,272
296,803,16,3/2/2023,4,Audio,302,1208
297,263,35,3/28/2023,2,Gaming,251,502
298,597,20,9/15/2023,2,Audio,10,20
299,658,46,6/27/2023,4,Electronics,232,928
300,835,3,8/30/2023,2,Gaming,321,642
301,554,1,7/22/2023,3,Electronics,129,387
302,374,47,1/31/2023,4,Gaming,193,772
303,637,1,10/16/2023,4,Electronics,129,516
304,167,17,3/21/2023,2,Audio,29,58
305,937,2,1/11/2023,1,Electronics,53,53
306,753,29,9/11/2023,4,Electronics,188,752
307,459,20,10/14/2023,2,Audio,10,20
308,999,6,6/25/2023,2,Electronics,216,432
309,280,8,5/6/2023,1,Audio,117,117
310,700,29,2/16/2023,4,Electronics,188,752
311,302,48,7/25/2023,1,Electronics,436,436
312,531,33,4/17/2023,3,Gaming,285,855
313,580,3,10/2/2023,1,Gaming,321,321
314,218,35,12/3/2023,1,Gaming,251,251
315,102,5,5/3/2023,2,Audio,376,752
316,554,27,5/14/2023,1,Gaming,334,334
317,288,44,4/17/2023,3,Electronics,194,582
318,167,12,11/1/2023,2,Gaming,379,758
319,621,20,11/25/2023,3,Audio,10,30
320,36,45,2/19/2023,1,Audio,48,48
321,744,20,12/3/2023,3,Audio,10,30
322,741,9,4/5/2023,3,Electronics,260,780
323,353,39,9/25/2023,1,Accessories,135,135
324,676,4,1/23/2023,1,Accessories,165,165
325,899,19,2/23/2023,2,Accessories,294,588
326,73,38,9/11/2023,2,Gaming,308,616
327,648,27,8/23/2023,4,Gaming,334,1336
328,353,45,2/28/2023,2,Audio,48,96
329,891,43,6/13/2023,1,Audio,294,294
330,70,13,9/16/2023,3,Gaming,343,1029
331,425,13,11/10/2023,3,Gaming,343,1029
332,999,22,8/4/2023,2,Accessories,44,88
333,708,28,7/2/2023,2,Accessories,170,340
334,781,47,2/26/2023,1,Gaming,193,193
335,561,45,5/25/2023,3,Audio,48,144
336,828,22,3/31/2023,4,Accessories,44,176
337,642,43,11/7/2023,4,Audio,294,1176
338,956,19,2/14/2023,2,Accessories,294,588
339,517,8,9/14/2023,4,Audio,117,468
340,428,8,1/21/2023,1,Audio,117,117
341,539,42,1/21/2023,4,Electronics,315,1260
342,160,26,2/21/2023,2,Accessories,68,136
343,149,48,12/4/2023,1,Electronics,436,436
344,776,26,6/20/2023,3,Accessories,68,204
345,230,23,3/8/2023,1,Gaming,207,207
346,712,43,4/23/2023,2,Audio,294,588
347,562,13,10/27/2023,2,Gaming,343,686
348,67,28,6/9/2023,4,Accessories,170,680
349,812,9,9/23/2023,4,Electronics,260,1040
350,381,20,11/16/2023,3,Audio,10,30
351,58,19,8/20/2023,3,Accessories,294,882
352,259,48,11/21/2023,2,Electronics,436,872
353,342,39,3/9/2023,2,Accessories,135,270
354,838,12,1/28/2023,2,Gaming,379,758
355,130,15,4/26/2023,3,Audio,466,1398
356,727,31,2/20/2023,2,Electronics,21,42
357,172,14,6/30/2023,3,Electronics,139,417
358,770,11,9/17/2023,2,Gaming,413,826
359,614,26,3/20/2023,1,Accessories,68,68
360,209,42,9/30/2023,1,Electronics,315,315
361,803,27,4/18/2023,2,Gaming,334,668
362,354,11,3/15/2023,1,Gaming,413,413
363,471,38,6/24/2023,3,Gaming,308,924
364,798,34,7/3/2023,4,Audio,190,760
365,116,43,1/23/2023,1,Audio,294,294
366,264,19,10/1/2023,4,Accessories,294,1176
367,662,6,5/9/2023,1,Electronics,216,216
368,812,46,10/18/2023,3,Electronics,232,696
369,442,38,11/16/2023,1,Gaming,308,308
370,548,49,7/5/2023,1,Electronics,187,187
371,453,42,2/28/2023,2,Electronics,315,630
372,845,28,1/1/2023,4,Accessories,170,680
373,477,1,5/11/2023,4,Electronics,129,516
374,287,35,3/8/2023,3,Gaming,251,753
375,303,40,10/20/2023,3,Gaming,491,1473
376,311,8,10/12/2023,4,Audio,117,468
377,208,47,3/30/2023,2,Gaming,193,386
378,618,7,4/10/2023,2,Electronics,399,798
379,446,11,7/8/2023,4,Gaming,413,1652
380,670,39,12/12/2023,1,Accessories,135,135
381,633,4,8/29/2023,4,Accessories,165,660
382,55,25,9/27/2023,1,Electronics,254,254
383,912,12,8/7/2023,4,Gaming,379,1516
384,12,26,6/25/2023,1,Accessories,68,68
385,657,38,12/7/2023,2,Gaming,308,616
386,400,46,8/21/2023,4,Electronics,232,928
387,908,12,5/31/2023,3,Gaming,379,1137
388,648,43,10/4/2023,1,Audio,294,294
389,980,37,8/17/2023,2,Electronics,260,520
390,515,46,6/20/2023,3,Electronics,232,696
391,656,24,8/11/2023,2,Accessories,494,988
392,542,16,8/1/2023,1,Audio,302,302
393,237,13,10/9/2023,4,Gaming,343,1372
394,279,25,2/10/2023,2,Electronics,254,508
395,348,4,5/2/2023,4,Accessories,165,660
396,627,11,8/15/2023,4,Gaming,413,1652
397,104,32,10/21/2023,2,Gaming,499,998
398,630,49,3/29/2023,2,Electronics,187,374
399,517,7,9/24/2023,2,Electronics,399,798
400,980,46,1/29/2023,4,Electronics,232,928
401,872,11,9/4/2023,3,Gaming,413,1239
402,248,28,11/12/2023,1,Accessories,170,170
403,364,41,9/1/2023,3,Gaming,226,678
404,321,23,3/2/2023,4,Gaming,207,828
405,633,45,5/27/2023,2,Audio,48,96
406,286,23,6/23/2023,2,Gaming,207,414
407,149,50,10/5/2023,1,Electronics,416,416
408,84,28,11/30/2023,1,Accessories,170,170
409,966,43,5/22/2023,3,Audio,294,882
410,406,47,2/13/2023,3,Gaming,193,579
411,978,26,5/24/2023,1,Accessories,68,68
412,456,25,12/19/2023,4,Electronics,254,1016
413,743,29,11/29/2023,3,Electronics,188,564
414,800,19,2/24/2023,2,Accessories,294,588
415,161,33,11/3/2023,2,Gaming,285,570
416,784,36,12/24/2023,4,Electronics,225,900
417,460,14,6/10/2023,1,Electronics,139,139
418,550,14,10/12/2023,3,Electronics,139,417
419,500,35,11/21/2023,2,Gaming,251,502
420,738,30,7/17/2023,1,Electronics,215,215
421,509,28,6/8/2023,3,Accessories,170,510
422,654,17,3/21/2023,4,Audio,29,116
423,804,3,1/31/2023,2,Gaming,321,642
424,481,16,4/22/2023,4,Audio,302,1208
425,663,46,2/15/2023,4,Electronics,232,928
426,114,30,12/19/2023,4,Electronics,215,860
427,749,29,7/24/2023,3,Electronics,188,564
428,578,45,2/21/2023,4,Audio,48,192
429,361,15,5/18/2023,3,Audio,466,1398
430,341,46,3/15/2023,3,Electronics,232,696
431,770,25,2/10/2023,4,Electronics,254,1016
432,987,38,3/18/2023,4,Gaming,308,1232
433,761,42,7/6/2023,1,Electronics,315,315
434,969,47,2/21/2023,2,Gaming,193,386
435,449,38,3/28/2023,1,Gaming,308,308
436,843,23,4/19/2023,2,Gaming,207,414
437,835,25,8/13/2023,2,Electronics,254,508
438,180,42,9/5/2023,1,Electronics,315,315
439,702,7,3/10/2023,1,Electronics,399,399
440,407,22,4/30/2023,2,Accessories,44,88
441,666,17,3/8/2023,2,Audio,29,58
442,196,18,3/2/2023,2,Audio,291,582
443,466,49,11/23/2023,3,Electronics,187,561
444,311,41,7/10/2023,2,Gaming,226,452
445,262,10,7/8/2023,4,Gaming,454,1816
446,419,10,5/31/2023,4,Gaming,454,1816
447,406,7,10/13/2023,4,Electronics,399,1596
448,939,48,4/6/2023,1,Electronics,436,436
449,143,50,11/8/2023,1,Electronics,416,416
450,342,38,11/5/2023,1,Gaming,308,308
451,316,27,9/20/2023,2,Gaming,334,668
452,101,33,4/7/2023,4,Gaming,285,1140
453,244,1,4/23/2023,2,Electronics,129,258
454,490,44,5/5/2023,3,Electronics,194,582
455,12,34,5/12/2023,3,Audio,190,570
456,239,4,5/1/2023,1,Accessories,165,165
457,561,17,7/16/2023,3,Audio,29,87
458,42,4,10/21/2023,4,Accessories,165,660
459,678,43,5/2/2023,3,Audio,294,882
460,594,26,10/9/2023,1,Accessories,68,68
461,429,4,9/17/2023,2,Accessories,165,330
462,803,1,2/8/2023,3,Electronics,129,387
463,158,7,2/23/2023,4,Electronics,399,1596
464,216,30,6/10/2023,4,Electronics,215,860
465,670,50,10/16/2023,4,Electronics,416,1664
466,462,9,7/19/2023,2,Electronics,260,520
467,134,35,10/3/2023,4,Gaming,251,1004
468,67,8,1/16/2023,1,Audio,117,117
469,848,24,6/22/2023,1,Accessories,494,494
470,7,19,9/5/2023,4,Accessories,294,1176
471,948,36,8/6/2023,3,Electronics,225,675
472,526,50,3/28/2023,4,Electronics,416,1664
473,73,43,3/23/2023,1,Audio,294,294
474,399,27,3/3/2023,1,Gaming,334,334
475,405,32,10/14/2023,1,Gaming,499,499
476,675,14,2/11/2023,3,Electronics,139,417
477,578,18,1/12/2023,3,Audio,291,873
478,859,28,11/17/2023,3,Accessories,170,510
479,130,29,8/22/2023,1,Electronics,188,188
480,931,16,11/25/2023,2,Audio,302,604
481,466,35,5/11/2023,4,Gaming,251,1004
482,206,47,4/25/2023,4,Gaming,193,772
483,788,31,8/6/2023,1,Electronics,21,21
484,978,4,5/17/2023,3,Accessories,165,495
485,768,37,4/16/2023,2,Electronics,260,520
486,266,17,6/28/2023,2,Audio,29,58
487,537,39,1/16/2023,3,Accessories,135,405
488,962,48,8/30/2023,4,Electronics,436,1744
489,793,46,11/30/2023,4,Electronics,232,928
490,253,26,8/14/2023,2,Accessories,68,136
491,822,48,8/30/2023,2,Electronics,436,872
492,289,39,5/21/2023,3,Accessories,135,405
493,164,41,7/18/2023,4,Gaming,226,904
494,95,4,4/22/2023,2,Accessories,165,330
495,782,30,5/7/2023,4,Electronics,215,860
496,833,30,1/21/2023,2,Electronics,215,430
497,110,22,5/27/2023,3,Accessories,44,132
498,336,11,3/30/2023,4,Gaming,413,1652
499,822,2,10/30/2023,2,Electronics,53,106
500,238,44,7/22/2023,2,Electronics,194,388
501,381,12,3/26/2023,2,Gaming,379,758
502,436,30,6/16/2023,2,Electronics,215,430
503,899,36,3/13/2023,3,Electronics,225,675
504,483,18,10/25/2023,4,Audio,291,1164
505,937,26,1/9/2023,4,Accessories,68,272
506,902,7,10/8/2023,1,Electronics,399,399
507,25,1,9/15/2023,4,Electronics,129,516
508,653,26,10/2/2023,1,Accessories,68,68
509,117,23,8/26/2023,2,Gaming,207,414
510,482,26,1/20/2023,3,Accessories,68,204
511,392,45,8/21/2023,3,Audio,48,144
512,917,6,8/9/2023,2,Electronics,216,432
513,994,6,11/22/2023,1,Electronics,216,216
514,964,44,1/17/2023,2,Electronics,194,388
515,537,8,3/30/2023,3,Audio,117,351
516,79,24,7/15/2023,3,Accessories,494,1482
517,580,22,12/16/2023,4,Accessories,44,176
518,173,19,3/25/2023,1,Accessories,294,294
519,956,37,3/28/2023,4,Electronics,260,1040
520,12,18,11/3/2023,3,Audio,291,873
521,800,31,12/4/2023,3,Electronics,21,63
522,128,37,6/3/2023,4,Electronics,260,1040
523,608,30,8/16/2023,4,Electronics,215,860
524,92,42,9/21/2023,3,Electronics,315,945
525,653,33,8/11/2023,4,Gaming,285,1140
526,543,10,5/1/2023,4,Gaming,454,1816
527,846,37,6/22/2023,1,Electronics,260,260
528,532,12,1/4/2023,3,Gaming,379,1137
529,658,30,12/8/2023,2,Electronics,215,430
530,989,27,5/8/2023,1,Gaming,334,334
531,828,39,4/20/2023,2,Accessories,135,270
532,447,9,12/21/2023,4,Electronics,260,1040
533,390,21,2/6/2023,4,Accessories,128,512
534,672,12,3/12/2023,2,Gaming,379,758
535,861,29,10/16/2023,4,Electronics,188,752
536,43,33,1/31/2023,4,Gaming,285,1140
537,254,43,9/25/2023,1,Audio,294,294
538,130,15,1/11/2023,2,Audio,466,932
539,60,2,12/10/2023,1,Electronics,53,53
540,663,39,11/24/2023,2,Accessories,135,270
541,467,44,2/1/2023,1,Electronics,194,194
542,287,18,2/26/2023,3,Audio,291,873
543,517,3,6/15/2023,3,Gaming,321,963
544,467,7,7/7/2023,2,Electronics,399,798
545,930,43,12/8/2023,3,Audio,294,882
546,778,18,1/19/2023,1,Audio,291,291
547,345,44,4/26/2023,2,Electronics,194,388
548,642,38,7/3/2023,3,Gaming,308,924
549,382,37,9/27/2023,3,Electronics,260,780
550,779,33,2/2/2023,2,Gaming,285,570
551,690,44,1/10/2023,3,Electronics,194,582
552,253,31,3/21/2023,3,Electronics,21,63
553,927,11,7/11/2023,2,Gaming,413,826
554,56,4,11/16/2023,3,Accessories,165,495
555,463,18,7/9/2023,3,Audio,291,873
556,457,4,3/9/2023,3,Accessories,165,495
557,983,49,12/14/2023,3,Electronics,187,561
558,83,34,5/5/2023,4,Audio,190,760
559,905,29,12/2/2023,2,Electronics,188,376
560,99,24,2/28/2023,4,Accessories,494,1976
561,149,22,4/7/2023,4,Accessories,44,176
562,329,2,10/2/2023,1,Electronics,53,53
563,156,44,5/29/2023,4,Electronics,194,776
564,190,6,10/5/2023,4,Electronics,216,864
565,494,42,9/22/2023,1,Electronics,315,315
566,883,25,1/9/2023,3,Electronics,254,762
567,263,21,10/10/2023,3,Accessories,128,384
568,80,16,9/30/2023,4,Audio,302,1208
569,400,31,10/28/2023,1,Electronics,21,21
570,764,14,1/8/2023,3,Electronics,139,417
571,609,39,7/27/2023,1,Accessories,135,135
572,260,28,5/5/2023,2,Accessories,170,340
573,772,32,5/3/2023,2,Gaming,499,998
574,615,28,2/2/2023,2,Accessories,170,340
575,552,49,1/1/2023,2,Electronics,187,374
576,785,9,7/23/2023,4,Electronics,260,1040
577,101,45,1/6/2023,2,Audio,48,96
578,359,22,10/24/2023,2,Accessories,44,88
579,380,32,1/5/2023,1,Gaming,499,499
580,820,5,3/21/2023,3,Audio,376,1128
581,221,23,10/1/2023,1,Gaming,207,207
